text,Legal(LG),Functional(F),LookandFeel(LF),Privacy(PR),Reliability(RL),Recoverability(RC),Audit(AU),Maintenance(MT),Operational(OP),Security(SC),OtherFunctional(OT),Usability(US),AccessControl(AC),PerformanceandScalability(PS),Availability(AV)
the system shall provide the ability to associate orders and medications with one or more codified problems or diagnoses,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to maintain a coded list of problems or diagnoses,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display different views of the problem or diagnosis list based upon the status of the problem,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture maintain and display free text comments associated with the problem or diagnosis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to record the prescribing of medications including the identity of the prescriber,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to maintain medication ordering dates,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to maintain other dates associated with medications including start modify renewal and end dates as applicable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display medication history for the patient,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture medications entered by authorized users other than the prescriber,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall store medication information in discrete data fields,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
at a minimum there must be one field for each of the following  medication name form and strength  dispense quantity  refills and  sig,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to enter uncoded or free text medications when medications are not on the vendorprovided medication database or information is insufficient to completely identify the medication,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to enter or further specify in a discrete field that the patient takes no medications,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to record the date of changes made to a patients medication list and the identity of the user who made the changes,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
the system shall provide the ability to update and display a patientspecific medication list based on current medication orders or prescriptions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display a view that includes only current medications,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to exclude a medication from the current medication list eg marked inactive erroneous completed discontinued and document reason for such action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display that the patient takes no medications,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture and maintain as discrete data elements all current medications including overthecounter and complementary medications such as vitamins herbs and supplements,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to modify or inactivate an item on the allergy and adverse reaction list,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display information which has been inactivated or removed from the allergy and adverse reaction list,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to specify the type of allergic or adverse reaction in a discrete data field,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture and maintain as discrete data the identity of the user who added modified inactivated or removed items from the allergy and adverse reaction list including attributes of the changed items,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
the user id and date or time stamp shall be recorded,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
the system shall provide the ability for a user to explicitly capture and maintain as discrete data that the allergy list was reviewed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the user id and date or time stamp shall be recorded when the allergies reviewed option is selected,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
the system shall provide the ability to explicitly indicate in a discrete field that a patient has no known drug allergies or adverse reactions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display the allergy list including date of entry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture maintain and display as discrete data lists of medications and other agents to which the patient has had an allergic or other adverse reaction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture store display and manage patient history,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture structured data in the patient history,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to update a patient history by modifying adding or removing items from the patient history as appropriate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture patient history as both a presence and absence of conditions ie the specification of the absence of a personal or family history of a specific diagnosis procedure or health risk behavior,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture history collected from outside sources,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture patient history in a standard coded form,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
the system shall provide the ability to create and display a summary list for each patient that includes at a minimum the active problem or diagnosis list current medication list medication allergies and adverse reactions the system shall provide the ability to create clinical documentation or notes henceforth documentation,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display documentation,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to save a note in progress prior to finalizing the note,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to finalize a note ie change the status of the note from in progress to complete so that any subsequent changes are recorded as such,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to record the identity of the user finalizing each note and the date and time of finalization,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
the system shall provide the ability to cosign a note and record the date and time of signature,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
the system shall provide the ability to addend possibly and possibly correct notes that have been finalized,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to identify the full content of a modified note both the original content and the content resulting after any changes corrections clarifications addenda etc to a finalized note,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to record and display the identity of the user who addended or corrected a note and the date and time of the change,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
the system shall provide the ability to enter free text notes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to filter search or order notes by the provider who finalized the note,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to filter search or order notes by associated diagnosis within a patient record,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture patient vital signs including blood pressure heart rate respiratory rate height and weight as discrete data,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
the system shall provide the ability to capture and display temperature weight and height in both metric and english units the system shall be capable of indicating to the user when a vital sign measurement falls outside a preset normal range as set by authorized users,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture other clinical data elements as discrete data,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
the system shall provide templates for inputting data in a structured format as part of clinical documentation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
the system shall provide the ability to customize clinical templates,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall be capable of recording comments by the patient or the patients representative regarding the accuracy or veracity of information in the patient record henceforth patient annotations,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall display patient annotations in a manner which distinguishes them from other content in the system,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
the system shall provide the ability to graph height and weight over time,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to calculate and display body mass index bmi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture and store external documents,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to save scanned documents as images,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to receive store in the patients record and display textbased outside reports,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to index scanned documents and associate a date and document type to the document,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to retrieve indexed scanned documents based on document type and date,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
they must be accessible from within the patients chart and labeled and datetime stamped or included in a patient encounter document,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
these images may be stored within the system or be provided through direct linkage to external sources,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to accept store in the patients record and display clinical results received through an interface with an external source,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to produce patient instructions and patient educational materials which may reside within the system or be provided through links to external source,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall have the ability to provide access to patientspecific test and procedure instructions that can be modified by the physician or health organization these instructions are to be given to the patient,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
these instructions may reside within the system or be provided through links to external sources,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall have the ability to provide access to patientspecific test and procedure instructions that can be modified by the physician or health organization these instructions are to be given to the filler of the order,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
these instructions may reside within the system or be provided through links to external sources,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to record that patient specific instructions or educational material were provided to the patient,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
the system shall provide the ability to create patient specific instructions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to access and review medication information such as patient education material or drug monograph,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
this may reside within the system or be provided through links to external sources,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to create prescription or other medication orders with sufficient information for correct filling and dispensing by a pharmacy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to record user and date stamp for prescription related events such as initial creation renewal refills discontinuation and cancellation of a prescription,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
the system shall provide the ability to capture the identity of the prescribing provider for all medication orders,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
the system shall provide the ability to capture common content for prescription details including strength sig quantity and refills to be selected by the ordering clinician,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to receive and display information received through electronic prescription eligibility checking,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to reorder a prior prescription without reentering previous data eg administration schedule quantity,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to print and electronically fax prescriptions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to reprint and refax prescriptions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display a dose calculator for patientspecific dosing based on weight,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to identify medication samples dispensed including lot number and expiration date,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to prescribe fractional amounts of medication eg 1 or 2 tsp 1 or 2 tablet,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to allow the user to configure prescriptions to incorporate fixed text according to the users specifications,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture and maintain as discrete data a diagnosis or problem code or description associated with an order of any type including prescriptions and medications ordered for administration,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
the system shall provide the ability to display the associated problem or diagnosis indication on the printed prescription,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to create provider specific medication lists of the most commonly prescribed drugs with a default route dose frequency and quantity,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to add reminders for necessary follow up tests based on medication prescribed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to alert the user at the time a new medication is prescribed or ordered that drug interaction allergy and formulary checking will not be performed against the uncoded medication or free text medication,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to prescribe or order uncoded and nonformulary medications,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to maintain a coded list of medications including a unique identifier for each medication,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide endusers the ability to search for medications by generic or brand name,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to access reference information for prescribing or ordering,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to order diagnostic tests including labs and imaging studies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture the identity of the ordering provider for all test orders,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
the system shall provide the ability to capture appropriate order entry detail including associated diagnosis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display user created instructions possibly and possibly prompts when ordering diagnostic tests or procedures,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to relay orders for a diagnostic test to the correct destination for completion,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall have the ability to provide a view of active orders for an individual patient,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall have the ability to provide a view of orders by like or comparable type eg all radiology or all lab orders,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display outstanding orders for multiple patients as opposed to outstanding orders for a single patient,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to view status information for ordered services,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to define a set of items to be ordered as a group,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to modify order sets,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to include in an order set order types including but not limited to medications laboratory tests imaging studies procedures and referrals,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability for individual orders in an order set to be selected or deselected by the user,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display orders placed through an order set either individually or as a group,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to indicate normal and abnormal results based on data provided from the original data source,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display numerical results in flow sheets and graphical form in order to compare results and shall provide the ability to display values graphed over time,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display nonnumeric current and historical test results as textual data,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to notify the relevant providers ordering copy to that new results have been received,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to filter or sort results by type of test and test date,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to forward a result to other users,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to link the results to the original order,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability for a user to attach a free text comment to a result that can be seen by another user who might subsequently view that result,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to associate one or more images with a nonnumerical result,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability for a user to whom a result is presented to acknowledge the result,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture scanned paper consent documents covered in dc1131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to store display and print patient consent forms,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to store and display administrative documents eg privacy notices,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to chronologically display consents and authorizations,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to indicate that a patient has completed advance directives,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to indicate the type of advance directives such as living will durable power of attorney or a do not resuscitate order,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to indicate when advance directives were last reviewed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall have the ability to provide access to standard care plan protocol and guideline documents when requested at the time of the clinical encounter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
these documents may reside within the system or be provided through links to external sources,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to create sitespecific care plan protocol and guideline documents,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to modify sitespecific standard care plan protocol and guideline documents obtained from outside sources,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to check for potential interactions between medications to be prescribed and medication allergies and intolerances listed in the record and alert the user at the time of medication prescribing or ordering if potential interactions exist,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to set the severity level at which drug interaction warnings should be displayed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display on demand potential drugallergy interactions drugdrug interactions and drugdiagnosis interactions based on current medications active allergies and active problems,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide drugdiagnosis interaction alerts at the time of medication prescribing or ordering,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability when a new allergy is documented to check for a potential interaction between the newlydocumented allergy and the patients current medications and alert the user if such interactions exist,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to check for potential interactions between medications to be prescribed or ordered and current medications and alert the user at the time of medication prescribing or ordering if potential interactions exist,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to view the rationale for a drug interaction alert,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture and maintain at least one reason for overriding any drugdrug or drugallergy or intolerance interaction warning triggered at the time of medication prescribing or ordering,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to enter a structured response when overriding a drugdrug or drugallergy or intolerance warning,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to prescribe or order a medication despite alerts for interactions possibly and possibly allergies or intolerances being present,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture medication administration details as discrete data including 1 the medication name and dose 2 date and time of administration 3 route and site 4 lot number and expiration date 5 manufacturer and 6 user id,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture in a discrete field an allergy or adverse reaction to a specific immunization,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
the system shall provide the ability to capture immunization administration details as discrete data including 1 the immunization type and dose 2 date and time of administration 3 route and site 4 lot number and expiration date 5 manufacturer and 6 user id,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to create referral orders with detail adequate for correct routing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to record user id and date or time stamp for all referral related events,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
the system shall provide the ability to establish criteria for disease management wellness and preventive services based on patient demographic data minimally age and gender,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display alerts based on established guidelines,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to establish criteria for disease management wellness and preventive services based on clinical data problem or diagnosis list current medications,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to update disease management guidelines and any associated reference material,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to update preventive services or wellness guidelines and any associated reference material,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to override guidelines,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to document reasons disease management or preventive services or wellness prompts were overridden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to modify the rules or parameters upon which guidelinerelated alerts are based,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to document that a preventive or disease management service has been performed based on activities documented in the record eg vitals signs taken,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to document that a disease management or preventive service has been performed with associated dates or other relevant details recorded,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to individualize alerts to address a patients specific clinical situation,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to identify preventive services tests or counseling that are due on an individual patient,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display reminders for disease management preventive and wellness services in the patient record,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to identify criteria for disease management preventive and wellness services based on patient demographic data age gender,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to identify criteria for disease management preventive and wellness services based on clinical data problem or diagnosis list current medications lab values,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to modify the guidelines criteria or rules that trigger the reminders,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to notify the provider that patients are due or are overdue for disease management preventive or wellness services,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to produce a list of patients who are due or are overdue for disease management preventive or wellness services,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to automatically generate reminder letters for patients who are due or are overdue for disease management preventive or wellness services,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to create and assign tasks by user or user role,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to present a list of tasks by user or user role,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to reassign and route tasks from one user to another user,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to designate a task as completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to remove a task without completing the task,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to document verbal or telephone communication into the patient record,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall support messaging between users,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall have the ability to provide electronic communication between prescribers and pharmacies or other intended recipients of the medication order,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to maintain a directory of all clinical personnel who currently use or access the system,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to maintain a directory which contains identifiers required for licensed clinicians to support the practice of medicine including at a minimum state medical license dea and npi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall allow authorized users to update the directory,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
the system shall provide the ability to create and maintain a directory of clinical personnel external to the organization who are not users of the system to facilitate communication and information exchange,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to display a schedule of patient appointments populated either through data entry in the system itself or through an external application interoperating with the system,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to generate reports of clinical and administrative data using either internal or external reporting tools,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to generate reports consisting of all or part of an individual patientâs medical record eg patient summary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to specify report parameters sort and filter criteria based on patient demographic and clinical data eg all male patients over 50 that are diabetic and have a hba1c value of over 70 or that are on a certain medication,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to access reports outside the ehr application,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to produce reports based on the absence of a clinical data element eg a lab test has not been performed or a blood pressure has not been measured in the last year,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to save report parameters for generating subsequent reports,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to modify one or more parameters of a saved report specification when generating a report using that specification,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to define one or more reports as the formal health record for disclosure purposes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to generate hardcopy or electronic output of part or all of the individual patients medical record,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to generate hardcopy and electronic output by date possibly and possibly date range,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to export structured data which removes those identifiers listed in the hipaa definition of a limited dataset,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
this export on hardcopy and electronic output shall leave the actual phi data unmodified in the original record,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to create hardcopy and electronic report summary information procedures medications labs immunizations allergies and vital signs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall have the ability to provide support for disclosure management in compliance with hipaa and applicable law,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to document encounters by one or more of the following means direct keyboard entry of text structured data entry utilizing templates forms pick lists or macro substitution dictation with subsequent transcription of voice to text either manually or via voice recognition system,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
the system shall provide the ability to associate individual encounters with diagnoses,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall have the ability to provide filtered displays of encounters based on encounter characteristics including date of service encounter provider and associated diagnosis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
